volume,order,main_tex_line,file,heading,toc_start_page,lines,words,labels,refs,cites,theorems,definitions,examples,remarks,ClaimStatusProvedHere,ClaimStatusProvedElsewhere,ClaimStatusConjectured,ClaimStatusConditional,ClaimStatusNeedsVerification,Conditional,Conjectured,NeedsVerification,band,suggested_operation
V1,1,1012,chapters/frame/preface.tex,Preface,59,6385,35490,9,17,0,0,0,0,0,0,0,0,0,0,1,0,0,Core,split
V1,2,1027,chapters/frame/heisenberg_frame.tex,Introduction,199,3545,22072,177,193,7,15,2,0,21,14,1,0,0,0,0,0,0,Core,split
V1,3,1119,chapters/theory/introduction.tex,Introduction,199,2921,21096,137,255,23,7,8,1,13,5,1,0,0,0,0,0,0,Core,split
V1,4,1125,chapters/theory/fourier_seed.tex,The Fourier seed,237,1042,5454,74,41,7,12,2,0,10,16,1,0,0,0,0,0,0,Core,retain
V1,5,1131,chapters/theory/algebraic_foundations.tex,Algebraic foundations and bar constructions,249,1587,10542,59,102,29,17,20,5,14,3,14,0,0,0,0,0,0,Core,split
V1,6,1137,chapters/theory/configuration_spaces.tex,Configuration spaces,269,3361,24181,119,47,44,57,21,21,30,35,30,0,0,0,0,0,0,Core,split
V1,7,1143,chapters/theory/bar_construction.tex,The geometric bar complex,327,1849,16113,82,82,12,24,10,8,18,25,1,0,0,0,0,0,0,Core,split
V1,8,1149,chapters/theory/cobar_construction.tex,The geometric cobar complex,361,3122,23251,94,134,22,38,8,18,25,29,9,0,0,0,0,0,0,Core,split
V1,9,1156,chapters/theory/bar_cobar_adjunction.tex,,,5,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Core,retain
V1,10,1160,appendices/homotopy_transfer.tex,Homotopy transfer,543,817,6051,40,32,15,14,2,4,5,5,9,0,0,0,0,0,0,Core,retain
V1,11,1172,chapters/theory/poincare_duality.tex,Non-abelian Poincaré duality and the construction of Koszul dual cooperads,555,765,6340,28,54,5,8,1,6,7,8,1,0,0,0,0,0,0,Core,retain
V1,12,1178,chapters/theory/higher_genus.tex,,,6,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Core,retain
V1,13,1196,chapters/theory/chiral_koszul_pairs.tex,Chiral Koszul duality,833,3874,26440,127,233,17,37,14,9,29,39,3,2,0,0,1,2,0,Core,split
V1,14,1197,chapters/theory/koszul_pair_structure.tex,Chiral Koszul pairs,883,2640,17776,87,157,49,38,14,6,20,29,14,14,0,0,0,14,0,Frontier,split
V1,15,1198,chapters/theory/chiral_hochschild_koszul.tex,Chiral Hochschild cohomology and Koszul duality,917,5180,33680,195,314,46,36,16,12,58,36,4,15,0,0,0,16,0,Frontier,split
V1,16,1204,chapters/theory/chiral_modules.tex,Chiral modules and geometric resolutions,977,4947,33831,218,248,88,62,23,13,39,54,14,0,0,0,0,0,0,Core,split
V1,17,1205,chapters/theory/poincare_duality_quantum.tex,Koszul duality and universal chiral defects,1031,1036,7880,35,40,24,16,8,9,8,7,10,4,0,0,0,4,0,Core,retain
V1,18,1206,chapters/theory/quantum_corrections.tex,Quantum corrections to Arnold relations,1047,1289,8911,47,59,10,6,7,0,14,2,3,3,0,0,0,3,0,Core,retain
V1,19,1211,chapters/theory/filtered_curved.tex,,,187,1229,5,17,0,2,0,3,2,2,0,0,0,0,0,0,0,Core,retain
V1,20,1216,chapters/theory/hochschild_cohomology.tex,Chiral Hochschild cohomology and deformation theory,1069,855,7013,30,35,18,16,5,4,12,7,16,0,0,0,0,0,0,Core,retain
V1,21,1226,appendices/nonlinear_modular_shadows.tex,"Ambient complementarity, nonlinear modular shadows, and the quartic resonance class",,3427,22651,254,155,3,65,39,0,35,63,1,20,0,0,0,20,0,Frontier,split
V1,22,1230,appendices/branch_line_reductions.tex,"Branch-line reductions, primitive modular characteristics, and the intrinsic invariant ladder",,1229,5868,84,52,0,21,7,1,9,21,0,1,0,0,0,1,0,Core,retain
V1,23,1240,chapters/theory/e1_modular_koszul.tex,\texorpdfstring{$E_1$,,769,3848,43,31,2,11,4,1,1,16,1,0,0,0,0,0,0,Core,retain
V1,24,1300,chapters/examples/lattice_foundations.tex,The lattice construction,1155,4369,26068,157,238,15,38,10,7,30,35,3,5,0,0,1,5,0,Frontier,split
V1,25,1306,chapters/examples/free_fields.tex,Free field atoms,1201,4021,29930,143,246,29,57,13,12,42,54,13,9,0,0,0,9,0,Frontier,split
V1,26,1307,chapters/examples/beta_gamma.tex,\texorpdfstring{The $\beta\gamma$ system,,2515,15465,123,87,10,29,12,1,24,23,6,2,0,0,0,2,0,Standard models,split
V1,27,1322,chapters/examples/heisenberg_eisenstein.tex,Genus expansion with Eisenstein series,1285,1531,10278,97,70,15,14,3,0,15,14,6,0,0,0,0,0,0,Standard models,split
V1,28,1332,chapters/examples/kac_moody.tex,Explicit Kac--Moody Koszul duals,1305,3913,30742,206,280,53,57,17,3,47,45,15,11,0,0,0,11,0,Frontier,split
V1,29,1343,chapters/examples/w_algebras.tex,W-algebra Koszul duals,1359,5252,34973,263,260,44,71,24,13,50,57,18,8,0,0,0,8,0,Frontier,split
V1,30,1350,chapters/examples/w3_composite_fields.tex,\texorpdfstring{The $W_3$ composite field: all coefficients explicit,,1026,6782,57,25,8,11,4,1,4,13,2,0,0,0,0,0,0,Standard models,retain
V1,31,1355,chapters/examples/minimal_model_fusion.tex,Minimal model fusion rules via Verlinde formula,1434,807,6721,78,19,13,14,4,2,8,12,8,0,0,0,0,0,0,Standard models,retain
V1,32,1357,chapters/examples/minimal_model_examples.tex,Fusion rule examples for $\mathcal{W,,512,3372,28,3,3,4,0,0,6,1,3,0,0,0,0,0,0,Standard models,retain
V1,33,1362,chapters/examples/w_algebras_deep.tex,,,2886,18168,104,115,11,23,5,1,16,18,5,2,0,0,0,2,0,Standard models,split
V1,34,1368,chapters/examples/deformation_quantization.tex,Chiral deformation quantization,1485,1141,8216,34,33,26,13,3,3,7,4,12,2,0,0,0,2,0,Standard models,retain
V1,35,1375,chapters/examples/deformation_quantization_examples.tex,Deformation quantization examples,1507,712,4623,47,23,9,8,3,6,5,2,8,0,0,0,0,0,0,Standard models,retain
V1,36,1382,chapters/examples/yangians.tex,,,6,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Standard models,retain
V1,37,1389,chapters/examples/toroidal_elliptic.tex,Toroidal and elliptic algebras,1659,1562,9959,87,88,8,10,8,0,16,5,7,6,0,0,3,6,0,Frontier,split
V1,38,1398,chapters/examples/genus_expansions.tex,Explicit genus expansions,1677,3291,23400,212,225,11,38,1,1,35,35,7,5,0,0,0,5,0,Frontier,split
V1,39,1404,chapters/examples/bar_complex_tables.tex,Detailed computations,1719,4360,28495,175,178,7,16,0,1,11,25,1,1,0,0,0,1,0,Atlas,split
V1,40,1408,chapters/examples/landscape_census.tex,Summary of Part XI,1771,2776,18129,81,378,4,20,0,0,26,21,1,7,0,0,0,8,0,Atlas,split
V1,41,1413,appendices/combinatorial_frontier.tex,The combinatorial frontier of chiral bar cohomology,,1198,10152,46,71,2,1,0,0,5,1,0,2,0,0,0,5,0,Frontier,retain
